term,definition,scales,occurrences
Aberration,Deviation from what is normal or right; deviation from truth or moral rectitude; mental irregularity or disorder; abnormality.,The Scale Of Aberration,1
Ability,Power or capacity to act. | Power or capacity to act; competence in an activity; proficiency; talent; skill; aptitude.,The Scale Of Basic Purposes | The Scale Of Human Ability,2
Abnormal,"Deviating from the norm; not average, typical, or usual; peculiar.",The Scale Of Stopping,1
Absolute,"Being fully or perfectly as indicated; free from any restriction, limitation, or exception; not comparative or relative.",The Scale Of Memory,1
Abstraction,A theoretical or general idea or term; something conceived apart from concrete reality.,The Scale Of Exchange,1
Acceptance,The act of taking or receiving something offered; positive response to.,The Scale Of Evaluation,1
Acute,Brief and severe; intense; sudden.,The Scale Of Stopping,1
Adolescence,The transitional period between puberty and adulthood in human development.,The Scale Of Equanimity,1
Adultness,The state of having attained maturity; matureness; full-grownness.,The Scale Of Equanimity,1
Affected,Acted upon; influenced; impressed or moved.,The Scale Of Reaction,1
Again,"if you feel worse after selecting a level, you have probably selected the wrong level. If the situation worsens a selecting a level, you have probably selected the wrong level. If you cannot figure out how to get up to the next higher level, or ! it impossible to do so, you have probably selected the wrong level. When you find the correct level, you will generally feel be you will usually be able to figure out how to move up a level (if it is possible to do so), and you will eventually move up to the r higher level, if you persist. Again, there are a few scales which you may not be able to ascend easily or swiftly, but you will still and do, better just knowing what level you are at, if you spot it correctly. How can one use these scales to help others? The best way to introduce someone to this subject is to use a specific scale to help him or her resolve a specific problem. Th done as follows: 1) Get the person to explain his or her situation as fully as possible. Select the appropriate scale(s) for the situation. If you have studied the scales well, this should be easy, as it is o Have him or her study the entire scale carefully, being certain the reader knows the correct definition of each word. W (s)he is done studying the scale, ask if (s)he has any questions about it, or disagreements with it. If so, clear these usually by clarifying the meanings of relevant words. Help him or her find where (s)he is on the scale. This step alone should bring considerable relief. If it does not, probably have the wrong level, or, less likely, the wrong scale. Time spent on this step is a wise investment. You might ""How are you manifesting this level?"" Often, this is all one need do, as one will usually have a realization about his or situation, as a result of this step.",The Scale Of Basic Purposes,1
Agreement,The state of being in accord; unanimity of opinion; mutual understanding.,The Scale Of Evaluation,1
Align,To fall or come into line.,The Scale Of Identity,1
Allegiance,"Loyalty or devotion to some person, group, cause, or the like.",The Scale Of Identity,1
Aloof,,The Scale Of Personal Influence,1
Amateur,A person who engages in an activity for pleasure rather than for financial benefit.,The Scale Of Human Ability,1
Amnesia,Complete or partial loss of memory. Paychotic it a major severe form of mental disorder or disease fecting one's total personality.,The Scale Of Memory,1
Angel,A celestial attendant or messenger of God or a god; an attendant or guardian spirit.,The Scale Of Spiritual Identity,1
Animal,"An organism typically differing from a plant in having the ability to move voluntarily, the presence of a nervous system ar greater ability to respond to stimuli, the need for complex organic materials for nourishment, and the delimitation of cells b",The Scale Of Spiritual Identity,1
