DXhBuSrlmrd | Bad Circuses, 2025, acrylic and serigraphy on steel, 18x24” | Bad Circuses, 2025, acrylic and serigraphy on steel, 18x24”
DXNIX6FFp95 | Habibi (حبيبي), 2026, acrylic and serigraphy on steel, 36x48” | Habibi (حبيبي), 2026, acrylic and serigraphy on steel, 36x48”
DW7GRwsFvaF | French Fried Samsara, 2026, acrylic, serigraphy, and paper on steel, 18x24” | French Fried Samsara, 2026, acrylic, serigraphy, and paper on steel, 18x24”
DWmpEGgFoPq | Unstable Footing, 2026, acrylic, serigraphy, and paper on steel, 18x24” | Unstable Footing, 2026, acrylic, serigraphy, and paper on steel, 18x24”
DVwpWBkgOlh | Steel Study for Habibi, 2026, acrylic and serigraphy on steel, 18x24” | Steel Study for Habibi, 2026, acrylic and serigraphy on steel, 18x24”
DVwof8YlmsF | Hi-Lite, 2026, acrylic, serigraphy, cigarette wrapper, and paper on steel, 18x24” | Hi-Lite, 2026, acrylic, serigraphy, cigarette wrapper, and paper on steel, 18x24”
DUy2o2hDzpG | Untitled, 2026, serigraphy, paper, and acrylic on steel, 24x36” | Untitled, 2026, serigraphy, paper, and acrylic on steel, 24x36”
DUy2UTdj3yX | Untitled, 2026, serigraphy, paper, and acrylic on steel, 24x36” | Untitled, 2026, serigraphy, paper, and acrylic on steel, 24x36”
DULk7OCgH-o | Churro Milkshake, 2026, serigraphy, paper, and acrylic on steel, 24x26” | Churro Milkshake, 2026, serigraphy, paper, and acrylic on steel, 24x26”
DULkpd1ALvM | Untitled Steel Piece, 2026, serigraphy and acrylic on steel, 24x26” | Untitled Steel Piece, 2026, serigraphy and acrylic on steel, 24x26”
DULkY0fgCHt | Untitled Steel Piece, 2026, serigraphy and acrylic on steel, 36x24” | Untitled Steel Piece, 2026, serigraphy and acrylic on steel, 36x24”
DULkLaYgDzv | Untitled Steel Piece, 2026, serigraphy and acrylic on steel, 24x26” #art | Untitled Steel Piece, 2026, serigraphy and acrylic on steel, 24x26” #art
DQSmguuAIvH | Poor Yorick, 2025, serigraphy and acrylic on steel, 24x18” #screenprint #printmaking #seri | Poor Yorick, 2025, serigraphy and acrylic on steel, 24x18” #screenprint #printmaking #serigraphy #screenprinting
DQSl-ISAAAj | Tenugui Study, 2025, serigraphy, acrylic, and pastel on canvas, fabricated hanging wood fr | Tenugui Study, 2025, serigraphy, acrylic, and pastel on canvas, fabricated hanging wood frame, 18x40” #screenprint #printmaking #serigraphy #screenprinting
DPursQLDJsk | Study on Steel (S.O.S.), 2025, acrylic and serigraphy on steel sheets, 18x24” #serigraphy  | Study on Steel (S.O.S.), 2025, acrylic and serigraphy on steel sheets, 18x24” #serigraphy #silkscreen #screenprinting #printmaking
DNoD3mYALCU | Paper study, 2025, serigraphy, 24x19” #screenprint #printmaking #serigraphy #screenprintin | Paper study, 2025, serigraphy, 24x19” #screenprint #printmaking #serigraphy #screenprinting #buddah
DNoDKZXAokE | Paper study, 2025, serigraphy, 19x24” #screenprint #printmaking #serigraphy #screenprintin | Paper study, 2025, serigraphy, 19x24” #screenprint #printmaking #serigraphy #screenprinting #japan
DNoC0rxgygz | Vic Has a Headache, 2025, serigraphy and acrylic on board, 36x48” #screenprint #printmakin | Vic Has a Headache, 2025, serigraphy and acrylic on board, 36x48” #screenprint #printmaking #serigraphy #screenprinting #vegasvic #pinball
